year,country,code,gdp,pop,unemp,hc
2000,"Micronesia, Fed. Sts.",FSM,290797573.8,107405,NA,NA
2000,Middle East & North Africa,MEA,1.84424E+12,315326781,11.96440069,NA
2000,Middle East & North Africa (excluding high income),MNA,9.18376E+11,279279614,13.11009609,NA
2000,Middle East & North Africa (IDA & IBRD countries),TMN,9.12155E+11,276357461,13.12940039,NA
2000,Middle income,MIC,1.11915E+13,4628232414,5.641576525,NA
2000,Moldova,MDA,4229636600,2923783,8.46,NA
2000,Monaco,MCO,4462968315,32148,NA,NA
2000,Mongolia,MNG,3837047132,2397417,6.18,NA
2000,Montenegro,MNE,2997411927,604950,30.58,NA
2000,Morocco,MAR,57519650790,28793672,13.58,NA
2000,Mozambique,MOZ,5131979555,17711925,2.85,NA
2000,Myanmar,MMR,16622791715,46719698,0.82,NA
2000,Namibia,NAM,7295092342,1794583,20.3,NA
2000,Nauru,NRU,NA,10335,NA,NA
2000,Nepal,NPL,10899840167,23941099,1.8,NA
2000,Netherlands,NLD,7.39505E+11,15925513,2.73,NA
2000,New Caledonia,NCL,NA,213230,17.51,NA
2000,New Zealand,NZL,1.13286E+11,3857700,6.13,NA
2000,Nicaragua,NIC,6560849205,5069310,7.58,NA
2000,Niger,NER,4863999084,11331561,1.48,NA
2000,Nigeria,NGA,1.68314E+11,122283853,3.83,NA
2000,North America,NAC,1.38362E+13,312909974,4.272213108,NA
2000,North Macedonia,MKD,7021546709,2034823,32.2,NA
2000,Northern Mariana Islands,MNP,NA,57453,NA,NA
2000,Norway,NOR,3.66702E+11,4490967,3.46,NA
2000,Not classified,INX,NA,NA,NA,NA
2000,OECD members,OED,3.83102E+13,1200836415,6.7769417,NA
2000,Oman,OMN,42407693363,2267973,3.49,NA
2000,Other small states,OSS,1.6927E+11,20917080,13.20743157,NA
2000,Pacific island small states,PSS,5470838640,1962451,3.524781469,NA
2000,Pakistan,PAK,1.16754E+11,142343583,0.63,NA
2000,Palau,PLW,178469220.7,19104,NA,NA
2000,Panama,PAN,16647538296,3030333,3.79,NA
