year,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar,dist,distw,distwces,trade,atopally
2004,SEN,5.5,8,13331977657,10810086,7.79,1.999999999,0,12312.8837890625,12601.470322528075,12587.002894980664,53410068,0
2005,SEN,5.5,8,13906617694,11090123,8.92,0,0,12312.8837890625,12601.470322528075,12587.002894980664,67305456,0
2006,SEN,5.5,8,14230749104,11382272,10.03,0,0,12312.8837890625,12601.470322528075,12587.002894980664,83378520,0
2007,SEN,5.5,8,14633069344,11687078,9.89,7.999999996,0,12312.8837890625,12601.470322528075,12587.002894980664,133733992,0
2008,SEN,5,8,15174956642,12004700,9.85,1,0,12312.8837890625,12601.470322528075,12587.002894980664,200748480,0
2009,SEN,6,8,15592587304,12335092,10.25,6.000000002,0,12312.8837890625,12601.470322528075,12587.002894980664,261045984,0
2010,SEN,5,8,16121314671,12678143,10.34,2.000000001,0,12312.8837890625,12601.470322528075,12587.002894980664,257558480,0
2011,SEN,5,7,16336387692,13033814,10.36,0,1,12312.8837890625,12601.470322528075,12587.002894980664,231790368,0
2012,SEN,5,7,16990332564,13401990,9.42,18.99999998,0,12312.8837890625,12601.470322528075,12587.002894980664,230291104,0
2013,SEN,5,7,17400204846,13782429,8.53,7.999999998,0,12312.8837890625,12601.470322528075,12587.002894980664,316341792,0
2014,SEN,5,8,18483206547,14174740,7.61,0,0,12312.8837890625,12601.470322528075,12587.002894980664,284370208,0
2000,SYC,5,6,794294458,81131,8.48,0,0,7945.28564453125,7827.9711011032105,7774.526389938565,0,0
2001,SYC,5,6,776254738,81202,11.74,0,0,7945.28564453125,7827.9711011032105,7774.526389938565,2217665.25,0
2002,SYC,5,5,785669398.2,83723,8.43,0,0,7945.28564453125,7827.9711011032105,7774.526389938565,1935907.375,0
2003,SYC,5,6,739416038.8,82781,10.36,0,0,7945.28564453125,7827.9711011032105,7774.526389938565,1599017.375,0
2004,SYC,5,6,718339327.3,82475,9.34,2.999999799,0,7945.28564453125,7827.9711011032105,7774.526389938565,1070862.375,0
2005,SYC,5,6,783031253.3,82858,8.34,0,0,7945.28564453125,7827.9711011032105,7774.526389938565,2058202.5,0
2006,SYC,5,6,856684174.3,84600,8.48,0,0,7945.28564453125,7827.9711011032105,7774.526389938565,3157170.5,0
2007,SYC,5,6,945962968.2,85033,8.59,0,0,7945.28564453125,7827.9711011032105,7774.526389938565,4079139.25,0
