year,recipient,recipient_iso3,aid,debt,aid_socgov,aid_econ,aid_human,frequencies_by_year,counts_by_year,relevant,govt_visits,mil_visits,total_visits,polity2,v2x_api,gdp,pop,china_gdp,china_pop,disaster,civilwar,dist,distw,distwces,imports,exports,atopally,distance,agree,fdi,region
2016,Cape Verde,CPV,64607032.83628846,0,53987015.6206302,9077531.05506883,1542486.16058943,0,0,1,0,0,0,10,0.903,3443232723.91304,531140,18595188781703.6,1387790000,0,0,12655.1513671875,12958.151399031069,12943.160401354797,83281,48671438,0,0.0025638,0.7961165,-118483738.4,Sub-Saharan Africa
2017,Cape Verde,CPV,31284633.56392741,0,10404266.622484948,19428527.25015443,1451839.69128803,0,0,1,0,0,0,10,0.9,3570702548.67827,537499,19887033884256.7,1396215000,0,0,12655.1513671875,12958.151399031069,12943.160401354797,8010,69239870,0,0.1927584,0.7564103,-95827683.64,Sub-Saharan Africa
2000,Cuba,CUB,0,0,0,0,0,0.61,30,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,Cuba,CUB,53699753.468718305,763896671.8440659,0,52381486.0693074,1318267.3994109,0.54,26,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Cuba,CUB,0,0,0,0,0,0.28,13,1,0,0,0,-7,0.232,95708060030.297,11199664,5152785033972.09,1280400000,1.000000048,0,12750.3935546875,13348.870192062375,13309.441692075754,115687132,310655541,0,0.4485547,0.9456522,-935520591.7,Latin America & Caribbean
2003,Cuba,CUB,12686659.3475919,0,12686659.3475919,0,0,0.25,13,1,0,0,0,-7,0.23,60121421699.2389,11229185,5670023166308.18,1288400000,1.000000021,0,12750.3935546875,13348.870192062375,13309.441692075754,120507269,236298012,0,0.4878129,0.9772727,-230686868.6,Latin America & Caribbean
2004,Cuba,CUB,23885208.269037,35585295.37307532,23885208.269037,0,0,0.65,33,1,0,0,0,-7,0.23,58636538467.9338,11250369,6243467841396.09,1296075000,3.999999923,0,12750.3935546875,13348.870192062375,13309.441692075754,194942923,328283756,0,0.4262039,0.9819277,-304100000,Latin America & Caribbean
2005,Cuba,CUB,2528660.42369125,0,0,2528660.42369125,0,0.48,24,1,0,0,0,-7,0.23,73842971037.4088,11261586,6954885516694.85,1303720000,16.00000019,0,12750.3935546875,13348.870192062375,13309.441692075754,236955413,635867247,0,0.6495732,0.9368421,-377120091.4,Latin America & Caribbean
2006,Cuba,CUB,0,0,0,0,0,0.25,13,1,0,0,0,-7,0.23,67652344309.9541,11261241,7839613419837.17,1311020000,8.999999891,0,12750.3935546875,13348.870192062375,13309.441692075754,528312618,1264372734,0,0.3143423,0.9716981,-871970000,Latin America & Caribbean
2007,Cuba,CUB,0,0,0,0,0,0.21,10,1,0,0,0,-7,0.23,29788710118.8997,11251117,8955257903305.3,1317885000,4.000000008,0,12750.3935546875,13348.870192062375,13309.441692075754,1115462607,1170735515,0,0.7055446,0.9597701,-377120091.4,Latin America & Caribbean
2008,Cuba,CUB,103238460.8056109,0,92649900.7229842,0,10588560.0826267,0.94,42,1,0,0,0,-7,0.341,127953623818.28,11236975,9819501089971.55,1324655000,10.00000029,0,12750.3935546875,13348.870192062375,13309.441692075754,903057223,1354795514,0,0.6976586,0.9402174,-1308100000,Latin America & Caribbean
2009,Cuba,CUB,1434086.51557131,677931807.360982,0,1434086.51557131,0,0.66,64,1,0,0,0,-7,0.34,105037929999.9,11226711,10742409055886.5,1331260000,3.000000029,0,12750.3935546875,13348.870192062375,13309.441692075754,574439303,972161783,0,0.9645505,0.9457831,-1379189636,Latin America & Caribbean
2010,Cuba,CUB,0,0,0,0,0,0.54,62,1,0,0,0,-7,0.34,96023980829.8408,11225833,11884957832311.2,1337705000,4.00000003,0,12750.3935546875,13348.870192062375,13309.441692075754,764609278,1066897662,0,0.6489417,0.9277108,-920208344.6,Latin America & Caribbean
2011,Cuba,CUB,4956298.1429503,0,4956298.1429503,0,0,0.61,66,1,0,0,0,-7,0.34,88724631104.7406,11236671,13020070209403.8,1345035000,0,0,12750.3935546875,13348.870192062375,13309.441692075754,904045465,1043647427,0,1.086153,0.8763441,-2213363670,Latin America & Caribbean
2012,Cuba,CUB,407401.876926928,0,0,0,407401.876926928,0.58,54,1,0,0,0,-7,0.34,94329506504.2682,11257112,14043934216102.1,1354190000,17.00000033,0,12750.3935546875,13348.870192062375,13309.441692075754,569202706,1173554267,0,0.831211,0.9186047,452522618.9,Latin America & Caribbean
2013,Cuba,CUB,5101224.81865388,0,0,5101224.81865388,0,0.79,61,1,0,0,0,-7,0.347,82167986812.0387,11282722,15134607226924.2,1363240000,2,0,12750.3935546875,13348.870192062375,13309.441692075754,504634027,1374786013,0,1.192619,0.9206349,-1057887435,Latin America & Caribbean
2014,Cuba,CUB,115650143.66639,57825071.8331954,0,115650143.66639,0,0.96,64,1,0,0,0,-7,0.347,48797364634.4045,11306909,16258467389928.8,1371860000,0,0,12750.3935546875,13348.870192062375,13309.441692075754,333015354,1062465309,0,0.8423202,0.9350649,-830000000,Latin America & Caribbean
2015,Cuba,CUB,46739056.1640448,59697880.64378129,0,46739056.1640448,0,0.69,36,1,0,0,0,-7,0.347,115324068368.38,11324777,17403279549482.5,1379860000,2.999999968,0,12750.3935546875,13348.870192062375,13309.441692075754,330002700,1886371556,0,1.546038,0.8888889,-1300931667,Latin America & Caribbean
2016,Cuba,CUB,2900728491.82341,497121313.969736,0,0,0,0.89,47,1,0,0,0,-7,0.35,63706939484.4176,11335108,18595188781703.6,1387790000,0,0,12750.3935546875,13348.870192062375,13309.441692075754,273751892,1783014082,0,1.442559,0.8348214,-377729138.9,Latin America & Caribbean
2017,Cuba,CUB,81200000,188800000,0,67200000,14000000,0.84,45,1,0,0,0,-7,0.349,105037929999.9,11339255,19887033884256.7,1396215000,10.00000002,0,12750.3935546875,13348.870192062375,13309.441692075754,397989625,1357042195,0,1.553712,0.8305085,-764048868.1,Latin America & Caribbean
2000,Algeria,DZA,0,0,0,0,0,0.18,9,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,Algeria,DZA,0,0,0,0,0,0.5,24,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Algeria,DZA,0,0,0,0,0,0.55,25,1,0,0,0,-3,0.59,294099620376.119,31855110,5152785033972.09,1280400000,48.00000027,1,9117.67578125,9505.34847408142,9481.410834914996,81897046,351904803,0,0.6553475,0.9234694,-923800000,Middle East & North Africa
2003,Algeria,DZA,1277285.29905012,42288864.491973,0,0,1277285.29905012,0.57,30,1,0,0,0,-3,0.594,315274793044.568,32264159,5670023166308.18,1288400000,2329.000446,1,9117.67578125,9505.34847408142,9481.410834914996,99216863,645937433,0,0.1328219,0.9450549,-668507260.7,Middle East & North Africa
2004,Algeria,DZA,61697346.4486959,0,59308825.6217922,0,2388520.8269037,0.48,24,1,0,0,0,2,0.596,328831609144.759,32692153,6243467841396.09,1296075000,21.99999997,1,9117.67578125,9505.34847408142,9481.410834914996,259077512,980519345,0,0.2654369,0.952381,-1251280889,Middle East & North Africa
2005,Algeria,DZA,0,0,0,0,0,0.5,25,1,0,0,0,2,0.6,348232674083.211,33149720,6954885516694.85,1303720000,21.99999998,1,9117.67578125,9505.34847408142,9481.410834914996,363732733,1404420063,0,0.1428653,0.9242424,-1101000000,Middle East & North Africa
2006,Algeria,DZA,0,0,0,0,0,0.39,20,1,0,0,0,2,0.6,354152629544.359,33641007,7839613419837.17,1311020000,5.000000001,1,9117.67578125,9505.34847408142,9481.410834914996,143121609,1947514487,0,0.4153173,0.9299065,-1762000000,Middle East & North Africa
2007,Algeria,DZA,801245.9588490671,0,20528.4082185981,780717.550630469,0,0.35,17,1,0,0,0,2,0.593,366193818947.302,34166976,8955257903305.3,1317885000,81.99999977,1,9117.67578125,9505.34847408142,9481.410834914996,1160931952,2741975093,0,0.6333706,0.9619565,-1539745128,Middle East & North Africa
2008,Algeria,DZA,0,0,0,0,0,0.56,25,1,0,0,0,2,0.589,374982470602.349,34730604,9819501089971.55,1324655000,92.99999978,1,9117.67578125,9505.34847408142,9481.410834914996,849219211,3751909956,0,0.6651176,0.8858696,-2320754664,Middle East & North Africa
2009,Algeria,DZA,1811110.22008373,0,0,0,1811110.22008373,0.32,31,1,0,0,0,2,0.587,380982190133.396,35333882,10742409055886.5,1331260000,48.00000019,1,9117.67578125,9505.34847408142,9481.410834914996,946619790,4180239032,0,0.5982835,0.9285714,-2532507565,Middle East & North Africa
2010,Algeria,DZA,57136569.9460779,0,57136569.9460779,0,0,0.43,49,1,0,0,0,2,0.586,394697548978.332,35977451,11884957832311.2,1337705000,0,1,9117.67578125,9505.34847408142,9481.410834914996,1177317334,3999998875,0,0.3077627,0.9476744,-2081136054,Middle East & North Africa
2011,Algeria,DZA,0,0,0,0,0,0.52,56,1,0,0,0,2,0.589,406143777896.585,36661438,13020070209403.8,1345035000,10,1,9117.67578125,9505.34847408142,9481.410834914996,1960886720,4471882142,0,0.5397464,0.8989362,-2037319358,Middle East & North Africa
2012,Algeria,DZA,0,0,0,0,0,0.46,43,1,0,0,0,2,0.588,419952666346.271,37383899,14043934216102.1,1354190000,68.99999965,1,9117.67578125,9505.34847408142,9481.410834914996,2311905609,5416657169,0,0.1303871,0.9235294,-1541844615,Middle East & North Africa
2013,Algeria,DZA,0,0,0,0,0,0.4,31,1,0,0,0,2,0.587,431711341003.966,38140135,15134607226924.2,1363240000,0,1,9117.67578125,9505.34847408142,9481.410834914996,2164546739,6023897368,0,0.4620967,0.9453125,-1963635050,Middle East & North Africa
2014,Algeria,DZA,0,0,0,0,0,0.4,27,1,0,0,0,2,0.587,448116371962.843,38923688,16258467389928.8,1371860000,6.000000003,1,9117.67578125,9505.34847408142,9481.410834914996,1314681787,7395177834,0,0.1185141,0.9350649,-1520777119,Middle East & North Africa
2015,Algeria,DZA,0,0,0,0,0,0.3,16,1,0,0,0,2,0.589,464696677723.626,39728020,17403279549482.5,1379860000,11.99999998,0,9117.67578125,9505.34847408142,9481.410834914996,767362894,7583347042,0,1.020283,0.8888889,638915215.3,Middle East & North Africa
2016,Algeria,DZA,17897466.92131916,0,15424861.6058943,2472605.31542486,0,0.34,18,1,0,0,0,2,0.561,479566971411.093,40551398,18595188781703.6,1387790000,0,0,9117.67578125,9505.34847408142,9481.410834914996,331886154,7647851142,0,0.9144481,0.8589744,-1591723072,Middle East & North Africa
2017,Algeria,DZA,29596978.9746759,0,29596978.9746759,0,0,0.36,19,1,0,0,0,2,0.562,485801342039.046,41389174,19887033884256.7,1396215000,0,0,9117.67578125,9505.34847408142,9481.410834914996,448323792,6784746250,0,0.6466178,0.8067227,-1238809876,Middle East & North Africa
2000,Ecuador,ECU,2487334.9107352,0,2487334.9107352,0,0,0.43,21,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,Ecuador,ECU,498715.398618198,0,498715.398618198,0,0,0.25,12,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Ecuador,ECU,5665142.94963545,0,314528.473221267,0,108473.256059733,0.33,15,1,0,0,0,6,0.864,112267171012.053,13143465,5152785033972.09,1280400000,69.00000318,0,15364.408203125,15834.301071488951,15802.411003311803,13569833,194476302,0,0.2607081,0.8030303,-783261009.6,Latin America & Caribbean
2003,Ecuador,ECU,0,0,0,0,0,0.32,17,1,0,0,0,6,0.865,115324068368.38,13369678,5670023166308.18,1288400000,21.99999978,0,15364.408203125,15834.301071488951,15802.411003311803,39724910,239291584,0,0.4966076,0.9166667,-871513414,Latin America & Caribbean
2004,Ecuador,ECU,17013433.85003505,0,17013433.85003505,0,0,0.32,16,1,0,0,0,6,0.865,124793351744.836,13596390,6243467841396.09,1296075000,27.00000012,0,15364.408203125,15834.301071488951,15802.411003311803,92217049,343598377,0,0.432641,0.9285714,-836939593.9,Latin America & Caribbean
2005,Ecuador,ECU,2398130.046230115,0,2398130.046230115,0,0,0.36,18,1,0,0,0,6,0.865,131396552682.369,13825839,6954885516694.85,1303720000,24.9999993,0,15364.408203125,15834.301071488951,15802.411003311803,42718330,467350792,0,0.517352,0.8826531,-493413835.5,Latin America & Caribbean
2006,Ecuador,ECU,4583117.987183298,0,159258.926195558,4423859.06098774,0,0.23,12,1,0,0,0,7,0.868,137182634612.881,14059379,7839613419837.17,1311020000,49.00000027,0,15364.408203125,15834.301071488951,15802.411003311803,87202362,714345585,0,0.6405249,0.8944954,-271428852.5,Latin America & Caribbean
2007,Ecuador,ECU,0,0,0,0,0,0.27,13,1,0,0,0,5,0.846,140187022069.715,14296554,8955257903305.3,1317885000,17.99999987,0,15364.408203125,15834.301071488951,15802.411003311803,141191352,946205457,0,0.2518637,0.9184783,-193872526.9,Latin America & Caribbean
2008,Ecuador,ECU,1089513.8736476111,0,1089513.8736476111,0,0,0.72,32,1,0,0,0,5,0.831,149098894146.809,14535740,9819501089971.55,1324655000,65.999999,0,15364.408203125,15834.301071488951,15802.411003311803,849022478,1547007581,0,0.1920531,0.8913043,-1057404020,Latin America & Caribbean
2009,Ecuador,ECU,276715.981936819,1303715014.15573,276715.981936819,0,0,0.28,27,1,0,0,0,5,0.817,149943526846.065,14774412,10742409055886.5,1331260000,33.00000067,0,15364.408203125,15834.301071488951,15802.411003311803,763156762,1003564126,0,0.0609286,0.9337349,-308629890.1,Latin America & Caribbean
2010,Ecuador,ECU,327917.113775322,3640094862.715642,327917.113775322,0,0,0.39,45,1,0,0,0,5,0.799,155229484002.131,15011114,11884957832311.2,1337705000,44.99999982,0,15364.408203125,15834.301071488951,15802.411003311803,507158532,1495611929,0,0.2084385,0.9022989,-165893320.4,Latin America & Caribbean
2011,Ecuador,ECU,0,3834283538.336483,0,0,0,0.26,28,1,0,0,0,5,0.797,167443158551.426,15243885,13020070209403.8,1345035000,34.00000084,0,15364.408203125,15834.301071488951,15802.411003311803,579890068,2224132316,0,0.8561954,0.8894737,-646084358.7,Latin America & Caribbean
2012,Ecuador,ECU,10448516.557388503,2038205912.042912,0,6780743.82860307,2906033.06940131,0.11,10,1,0,0,0,5,0.798,176890238040.202,15474099,14043934216102.1,1354190000,52.00000222,0,15364.408203125,15834.301071488951,15802.411003311803,938409667,2613995860,0,0.365995,0.9176471,-567417300.9,Latin America & Caribbean
2013,Ecuador,ECU,374807654.6241452,303625840.803307,3886647.48087915,370921007.1432661,0,0.18,14,1,0,0,0,5,0.784,185640133594.918,15707473,15134607226924.2,1363240000,36.99999968,0,15364.408203125,15834.301071488951,15802.411003311803,775263082,2966845611,0,0.7936634,0.952381,-727081206.3,Latin America & Caribbean
2014,Ecuador,ECU,210097760.993943,1753287810.2242785,0,210097760.993943,0,0.15,10,1,0,0,0,5,0.778,192673794231.404,15951832,16258467389928.8,1371860000,20.00000072,0,15364.408203125,15834.301071488951,15802.411003311803,1064512382,3245139234,0,0.4056322,0.9358974,-772389946.1,Latin America & Caribbean
2015,Ecuador,ECU,85564793.51770508,0,15282178.100350844,67154226.86047587,3128388.5568783702,0.19,10,1,0,0,0,5,0.782,192864295837.36,16212022,17403279549482.5,1379860000,34.99999825,0,15364.408203125,15834.301071488951,15802.411003311803,1238448930,2891415662,0,0.8642036,0.8888889,-1322701337,Latin America & Caribbean
2016,Ecuador,ECU,282746798.7645806,2807520017.58764,266814438.5194005,0,15932360.245180111,0.85,45,1,0,0,0,5,0.78,190499039001.124,16491116,18595188781703.6,1387790000,682.0000077,0,15364.408203125,15834.301071488951,15802.411003311803,939921953,2257103301,0,0.5204365,0.7974138,-764048868.1,Latin America & Caribbean
2017,Ecuador,ECU,53910897.20237221,64000000,53910897.20237221,0,0,0.11,6,1,0,0,0,5,0.804,195010792573.628,16785356,19887033884256.7,1396215000,0,0,15364.408203125,15834.301071488951,15802.411003311803,1127738159,2963208185,0,0.5671248,0.7731092,-629512412.3,Latin America & Caribbean
2000,Eritrea,ERI,21526639.0301862,0,21526639.0301862,0,0,0.69,34,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,Eritrea,ERI,6547685.75866343,0,0,0,0,0.4,19,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Eritrea,ERI,5206716.29086721,0,0,0,0,0.48,22,1,0,0,0,-7,0.168,41035851401.2117,2481059,5152785033972.09,1280400000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,4854,6024624,0,0.1103925,0.871134,-123820911.1,Sub-Saharan Africa
2003,Eritrea,ERI,4228886.4491973,0,0,0,0,0.28,15,1,0,0,0,-7,0.135,43246320958.7908,2600972,5670023166308.18,1288400000,0,1,7878.10009765625,7953.8232305519105,7919.439387831823,464,5466521,0,0.2540765,0.9425287,-271891074.1,Sub-Saharan Africa
2004,Eritrea,ERI,0,0,0,0,0,0.28,14,1,0,0,0,-7,0.135,40584197954.6039,2719809,6243467841396.09,1296075000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,510540,7541552,0,0.2421806,0.9303797,-238437480.9,Sub-Saharan Africa
2005,Eritrea,ERI,13792693.2201341,0,0,13792693.2201341,0,0.22,11,1,0,0,0,-7,0.135,38373595236.3599,2826653,6954885516694.85,1303720000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,408408,7828643,0,0.1432036,0.9226804,-115000000,Sub-Saharan Africa
2006,Eritrea,ERI,36718030.2061983,0,0,36718030.2061983,0,0.39,20,1,0,0,0,-7,0.135,40584197954.6039,2918209,7839613419837.17,1311020000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,708114,37946081,0,0.289753,0.9230769,-294500000,Sub-Saharan Africa
2007,Eritrea,ERI,98253511.13739789,124914808.100875,15626668.057540458,72362638.9705584,0,0.1,5,1,0,0,0,-7,0.134,40660554030.8434,2996540,8955257903305.3,1317885000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,2518680,26934495,0,0.0878577,0.9375,-99650560.95,Sub-Saharan Africa
2008,Eritrea,ERI,0,0,0,0,0,0.11,5,1,0,0,0,-7,0.134,30868316231.9295,3062782,9819501089971.55,1324655000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,2473851,28978356,0,0.0254029,0.923913,-105680000,Sub-Saharan Africa
2009,Eritrea,ERI,6518575.07077868,0,6518575.07077868,0,0,0.16,16,1,0,0,0,-7,0.135,46096455492.7374,3119920,10742409055886.5,1331260000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,422234,39478196,0,0.0791592,0.961039,-161210706.3,Sub-Saharan Africa
2010,Eritrea,ERI,7251798.93261013,72517989.3261013,0,0,0,0.1,12,1,0,0,0,-7,0.135,33475568104.7524,3170437,11884957832311.2,1337705000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,1054121,38799687,0,0.118908,0.9345238,-80505350.1,Sub-Saharan Africa
2011,Eritrea,ERI,0,106800932.812163,0,0,0,0.17,18,1,0,0,0,-7,0.135,38373595236.3599,3213969,13020070209403.8,1345035000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,870583,148155974,0,0.1880604,0.9285714,-47951776.13,Sub-Saharan Africa
2012,Eritrea,ERI,105581475.2598518,62678778.7652078,3870317.83080581,101711157.429046,0,0,0,1,0,0,0,-7,0.135,66620056539.4787,17205253,14043934216102.1,1354190000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,1259387,53531828,0,0.1397327,0.8988095,342490414.4,Sub-Saharan Africa
2013,Eritrea,ERI,0,103967820.113517,0,0,0,0.16,12,1,0,0,0,-7,0.138,86958198354.4153,19702267,15134607226924.2,1363240000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,50934222,137956671,0,0.2568016,0.9333333,-178000000,Sub-Saharan Africa
2014,Eritrea,ERI,123180537.8830742,0,28154669.8371897,95025868.0458845,0,0.1,7,1,0,0,0,-7,0.138,124793351744.836,28649007,16258467389928.8,1371860000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,321685183,88144183,0,0.1506305,0.9,-638519165.4,Sub-Saharan Africa
2015,Eritrea,ERI,938516.567063513,94874188.4692959,938516.567063513,0,0,0.1,5,1,0,0,0,-7,0.138,35449309348.5047,2740000,17403279549482.5,1379860000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,178730319,134303501,0,0.4639874,0.8732394,63459037.71,Sub-Saharan Africa
2016,Eritrea,ERI,7174946.79956321,0,0,0,0,0.04,2,1,0,0,0,-7,0.137,121154026245.802,27829930,18595188781703.6,1387790000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,175474877,69320970,0,0.2510297,0.875,-258417488.7,Sub-Saharan Africa
2017,Eritrea,ERI,0,591939.579493519,0,0,0,0.17,9,1,0,0,0,-7,0.136,76843059119.7061,10106778,19887033884256.7,1396215000,0,0,7878.10009765625,7953.8232305519105,7919.439387831823,170690324,42947305,0,0.4331885,0.8318966,-165503585.3,Sub-Saharan Africa
2000,Ethiopia,ETH,499336.8744841376,0,53816.5975754656,0,445520.276908672,1.86,91,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,Ethiopia,ETH,301324498.6136904,0,218256.191955447,33611453.56113892,0,1.27,61,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Ethiopia,ETH,4408603.02037685,0,0,4408603.02037685,0,1.44,66,1,0,0,0,1,0.471,52987767961.0667,70142090,5152785033972.09,1280400000,21.99999999,1,8315.98828125,8350.973072312927,8313.525353610197,3685135,96426038,0,0.2048167,0.8505155,-200558390,Sub-Saharan Africa
2003,Ethiopia,ETH,30487366.87473526,0,22991135.3829021,7496231.49183316,0,1.32,70,1,0,0,0,1,0.471,51842511686.7387,72170581,5670023166308.18,1288400000,118.999999,1,8315.98828125,8350.973072312927,8313.525353610197,4738059,152747258,0,0.5214713,0.9261364,-20110637.04,Sub-Saharan Africa
2004,Ethiopia,ETH,0,0,0,0,0,1.17,59,1,0,0,0,1,0.465,58878890054.1649,74239508,6243467841396.09,1296075000,0,1,8315.98828125,8350.973072312927,8313.525353610197,14386456,194054868,0,0.3386724,0.92,-309621924,Sub-Saharan Africa
2005,Ethiopia,ETH,328062.20726947044,0,328062.20726947044,0,0,1.2,60,1,0,0,0,-3,0.487,65837648261.6517,76346310,6954885516694.85,1303720000,211.0000025,1,8315.98828125,8350.973072312927,8313.525353610197,85708980,284001209,0,0.3808409,0.93125,-265111675.5,Sub-Saharan Africa
2006,Ethiopia,ETH,60410706.26261036,649309209.984815,19958823.879909683,39753628.0529121,88171.663739867,2.42,125,1,0,0,0,-3,0.47,72970977757.3938,78489205,7839613419837.17,1311020000,950.9996327,1,8315.98828125,8350.973072312927,8313.525353610197,131823476,430770158,0,0.4912389,0.895,-545257102.2,Sub-Saharan Africa
2007,Ethiopia,ETH,29745338.679020815,2342152651.89141,468430.530378281,0,390358.775315234,1.33,64,1,0,0,0,-3,0.472,81330654830.8309,80674343,8955257903305.3,1317885000,22,1,8315.98828125,8350.973072312927,8313.525353610197,87130422,778359524,0,0.0113514,0.9473684,-222000573,Sub-Saharan Africa
2008,Ethiopia,ETH,14429638.106910065,0,988381.1487715768,7617548.91269377,0,0.63,28,1,0,0,0,-3,0.472,90105030164.1105,82916236,9819501089971.55,1324655000,45.00000088,1,8315.98828125,8350.973072312927,8313.525353610197,81656179,1230719309,0,0.1890356,0.8791209,-108537544,Sub-Saharan Africa
2009,Ethiopia,ETH,1042972.01132459,454996539.940352,0,0,0,0.65,63,1,0,0,0,-3,0.47,98036573378.2232,85233923,10742409055886.5,1331260000,0,1,8315.98828125,8350.973072312927,8313.525353610197,214755559,1252460488,0,0.2191474,0.9444444,-221459581.4,Sub-Saharan Africa
2010,Ethiopia,ETH,674053793.7462391,794588436.118417,0,390307338.92411906,0,0.81,93,1,0,0,0,-3,0.446,110340691113.094,87639962,11884957832311.2,1337705000,19,1,8315.98828125,8350.973072312927,8313.525353610197,273970311,1209615368,0,0.3064591,0.94375,-288271568.3,Sub-Saharan Africa
2011,Ethiopia,ETH,1037392570.0818006,155341956.775291,104749392.28282006,907790895.925783,24781490.71475147,1.55,168,1,0,0,0,-3,0.438,122674900424.815,90139928,13020070209403.8,1345035000,0,1,8315.98828125,8350.973072312927,8313.525353610197,292059109,885361446,0,0.2685934,0.893617,-628624806,Sub-Saharan Africa
2012,Ethiopia,ETH,41060389.819953635,6457851.26533626,98929.47521362816,40961460.34474,0,0.82,77,1,0,0,0,-3,0.44,133283594734.983,92726982,14043934216102.1,1354190000,0,1,8315.98828125,8350.973072312927,8313.525353610197,309365546,1529869658,0,0.3672393,0.9074074,-278562822.2,Sub-Saharan Africa
2013,Ethiopia,ETH,2674371433.997222,2389530706.749917,9481652.86076071,2664889781.1364613,0,1.28,98,1,0,0,0,-3,0.44,147388024659.877,95385793,15134607226924.2,1363240000,0,1,8315.98828125,8350.973072312927,8313.525353610197,315687550,1868466390,0,0.0688627,0.9193548,-1343876024,Sub-Saharan Africa
2014,Ethiopia,ETH,485367849.7102155,609616786.4834265,3492251.100253544,481875598.609962,0,1.27,85,1,0,0,0,-3,0.44,162506340914.728,98094264,16258467389928.8,1371860000,0,1,8315.98828125,8350.973072312927,8313.525353610197,489953733,2922309224,0,0.2580009,0.9276316,-1855052154,Sub-Saharan Africa
2015,Ethiopia,ETH,548568953.7062805,640828443.3800174,0,540747982.3140845,7820971.39219594,1.58,83,1,0,0,0,-3,0.442,179394752299.826,100835453,17403279549482.5,1379860000,0,0,8315.98828125,8350.973072312927,8313.525353610197,380349712,3440867341,0,0.314149,0.8428571,-2626517918,Sub-Saharan Africa
2016,Ethiopia,ETH,590650466.610611,105303770.417118,142491662.43152437,432168922.74006,15989881.43902659,1.63,86,1,0,0,0,-3,0.436,196317925147.112,103603461,18595188781703.6,1387790000,128.0000002,0,8315.98828125,8350.973072312927,8313.525353610197,419419894,3214476645,0,0.1524555,0.8539823,-4142937496,Sub-Saharan Africa
2017,Ethiopia,ETH,74093886.62830071,751713420.2,20834.9865461095,53274562.1544167,20798489.487337902,2.36,126,1,0,0,0,-3,0.434,215094143811.298,106399926,19887033884256.7,1396215000,115.0000014,0,8315.98828125,8350.973072312927,8313.525353610197,357582736,2664554880,0,0.1776675,0.7923729,-4017159565,Sub-Saharan Africa
2000,Fiji,FJI,16707.0103840752,0,16707.0103840752,0,0,0.16,8,1,4,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,Fiji,FJI,261907.430346537,0,261907.430346537,0,0,0.02,1,1,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Fiji,FJI,288317.767119495,0,288317.767119495,0,0,0.02,1,1,7,1,8,5,0.768,8174936814.89547,815257,5152785033972.09,1280400000,7.0000002,0,9104.001953125,8793.095305480194,8773.240119126749,1401282,30566920,1,0.6644853,0.7747253,-28952265.6,East Asia & Pacific
2003,Fiji,FJI,532129.2396753953,0,0,0,532129.2396753953,0.09,5,1,4,0,4,5,0.768,8256686129.47875,816078,5670023166308.18,1288400000,0,0,9104.001953125,8793.095305480194,8773.240119126749,5354838,25965532,1,0.8390802,0.8895349,-36459497.47,East Asia & Pacific
