recipient_iso3,year,frequencies_by_year,counts_by_year,relevant
NER,2005,2.21,111,1
NER,2006,2.28,118,1
NER,2007,2.37,114,1
NER,2008,0.79,35,1
NER,2009,1.51,147,1
NER,2010,1.09,125,1
NER,2011,1.12,121,1
NER,2012,0.83,78,1
NER,2013,1.02,78,1
NER,2014,1.82,122,1
NER,2015,1.37,72,1
NER,2016,1.46,77,1
NER,2017,1.18,63,1
BRA,2000,1.16,57,1
BRA,2001,1.34,64,1
BRA,2002,1.58,72,1
BRA,2003,1.21,64,1
BRA,2004,1.03,52,1
BRA,2005,1.46,73,1
BRA,2006,1.63,84,1
BRA,2007,2.27,109,1
BRA,2008,3.1,138,1
BRA,2009,2.66,259,1
BRA,2010,3.53,405,1
BRA,2011,3.08,333,1
BRA,2012,3.19,298,1
BRA,2013,3.42,263,1
BRA,2014,1.97,132,1
BRA,2015,2.46,129,1
BRA,2016,2.5,132,1
BRA,2017,2.09,112,1
PYF,2000,0,0,1
PYF,2001,0,0,1
PYF,2002,0,0,1
PYF,2003,0,0,1
PYF,2004,0,0,1
PYF,2005,0,0,1
PYF,2006,0,0,1
PYF,2007,0,0,1
PYF,2008,0,0,1
PYF,2009,0,0,1
PYF,2010,0,0,1
PYF,2011,0,0,1
PYF,2012,0,0,1
PYF,2013,0,0,1
PYF,2014,0,0,1
PYF,2015,0,0,1
PYF,2016,0.02,1,1
PYF,2017,0,0,1
GAB,2000,0.14,7,1
GAB,2001,0.15,7,1
GAB,2002,0.11,5,1
GAB,2003,0.13,7,1
GAB,2004,0.28,14,1
GAB,2005,0.16,8,1
GAB,2006,0.23,12,1
GAB,2007,0.1,5,1
GAB,2008,0.11,5,1
GAB,2009,0.21,20,1
GAB,2010,0.09,10,1
GAB,2011,0.11,12,1
GAB,2012,0.15,14,1
GAB,2013,0.16,12,1
GAB,2014,0.03,2,1
GAB,2015,0,0,1
GAB,2016,0,0,1
GAB,2017,0,0,1
GMB,2000,0.08,4,1
GMB,2001,0.04,2,1
GMB,2002,0,0,1
GMB,2003,0.04,2,1
GMB,2004,0.02,1,1
GMB,2005,0.04,2,1
GMB,2006,0.02,1,1
GMB,2007,0.08,4,1
GMB,2008,0,0,1
GMB,2009,0,0,1
GMB,2010,0.09,10,1
GMB,2011,0.05,5,1
GMB,2012,0.05,5,1
GMB,2013,0.14,11,1
GMB,2014,0.07,5,1
GMB,2015,0.04,2,1
GMB,2016,0.02,1,1
GMB,2017,0.22,12,1
GEO,2000,0.27,13,1
GEO,2001,0.31,15,1
GEO,2002,0.09,4,1
GEO,2003,0.36,19,1
GEO,2004,0.38,19,1
GEO,2005,0.22,11,1
GEO,2006,0.12,6,1
GEO,2007,0.19,9,1
GEO,2008,1.05,47,1
GEO,2009,0.39,38,1
GEO,2010,0.26,30,1
