"","country_mentioned","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"128","Republic of Burundi, Burundi",512,517,412,405,488,305,337,367,169,556,719,503,476,369,219
"129","Republic of Cabo Verde, Cape Verde",82,106,89,80,175,114,145,96,108,197,212,128,172,113,108
"130","Republic of Cameroon, Cameroon",214,220,455,406,307,218,327,547,543,505,1030,443,365,501,468
"131","Republic of Chad, Chad",61,68,66,90,387,185,258,352,306,321,416,238,177,330,261
"132","Republic of Chile, Chile",920,745,557,931,1319,990,945,896,1317,1828,2899,1396,858,1019,857
"133","Republic of Colombia, Colombia",980,1029,1207,1381,1269,1315,1038,1070,1799,2146,2119,1670,1217,1137,983
"134","Republic of Costa Rica, Costa Rica",275,274,496,275,335,299,516,232,566,1608,893,550,261,410,372
"135","Republic of Cote d'Ivoire, Ivory Coast",207,138,419,399,412,326,374,381,266,408,975,1431,531,337,204
"136","Republic of Croatia, Croatia",641,582,742,642,920,1002,1170,792,1650,1347,1396,1180,968,854,1138
"137","Republic of Cuba, Cuba",945,756,640,669,899,880,877,952,1740,1660,1603,1373,1471,1331,833
"138","Republic of Cyprus, Cyprus",805,544,851,756,1143,686,963,649,719,866,1210,797,783,1244,606
"139","Republic of Djibouti, Djibouti",257,116,148,180,235,141,224,172,188,397,291,382,225,182,109
"140","Republic of Ecuador, Ecuador",473,456,597,448,488,562,738,652,1132,1244,856,491,394,593,463
"141","Republic of El Salvador, El Salvador",140,240,146,214,246,171,178,161,491,956,764,521,134,175,214
"142","Republic of Equatorial Guinea, Equatorial Guinea",45,38,41,29,151,104,98,101,105,158,169,307,347,145,105
"143","Republic of Estonia, Estonia",229,239,251,366,361,313,418,430,440,589,558,452,388,340,501
"144","Republic of Fiji, Fiji",335,141,84,94,228,198,517,483,206,1173,865,1164,785,474,412
"145","Republic of Finland, Finland",813,759,716,866,866,1051,1590,893,1137,1562,1646,1046,869,893,1025
"146","Republic of France, France",4396,4348,4248,5287,5799,5196,5885,4722,6384,8563,9370,9231,7329,6244,5053
"147","Republic of Ghana, Ghana",416,409,399,485,509,472,1045,928,587,714,1453,906,1178,854,823
"148","Republic of Guatemala, Guatemala",272,169,109,246,220,272,246,263,359,453,425,367,271,137,78
"149","Republic of Guinea, Guinea",252,341,285,309,343,259,217,251,360,636,790,429,536,271,884
"150","Republic of Guinea-Bissau, Guinea-Bissau",17,25,36,41,16,24,30,46,33,53,126,100,83,56,44
"151","Republic of Haiti, Haiti",100,78,43,44,854,235,232,160,235,263,3267,677,320,247,98
"152","Republic of Honduras, Honduras",223,194,93,202,268,188,113,157,293,1920,710,306,201,239,187
