,country_mentioned,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
118,"Repubblica Italiana, Italy",1.18,1.18,1.22,1.21,1.32,1.31,1.35,1.02,1.35,1.06,0.97,1.21,1.22,1.17,1.24
119,"Republic of Albania, Albania",0.11,0.1,0.07,0.07,0.08,0.09,0.08,0.09,0.09,0.07,0.05,0.07,0.04,0.13,0.17
120,"Republic of Angola, Angola",0.43,0.42,0.36,0.31,0.26,0.21,0.27,0.33,0.21,0.19,0.15,0.13,0.12,0.11,0.12
121,"Republic of Armenia, Armenia",0.09,0.07,0.04,0.07,0.08,0.07,0.05,0.07,0.1,0.08,0.08,0.11,0.08,0.1,0.07
122,"Republic of Austria, Austria",0.53,0.43,0.34,0.36,0.42,0.5,0.43,0.43,0.54,0.41,0.35,0.34,0.29,0.29,0.38
123,"Republic of Azerbaijan, Azerbaijan",0.13,0.08,0.07,0.06,0.1,0.1,0.09,0.11,0.14,0.09,0.1,0.12,0.17,0.12,0.11
124,"Republic of Belarus, Belarus",0.24,0.24,0.15,0.19,0.2,0.25,0.23,0.3,0.35,0.23,0.31,0.3,0.27,0.22,0.23
125,"Republic of Benin, Benin",0.05,0.05,0.05,0.06,0.09,0.08,0.05,0.08,0.06,0.04,0.05,0.05,0.07,0.06,0.04
126,"Republic of Botswana, Botswana",0.16,0.14,0.15,0.13,0.13,0.08,0.11,0.13,0.05,0.06,0.07,0.1,0.12,0.13,0.1
127,"Republic of Bulgaria, Bulgaria",0.25,0.25,0.25,0.28,0.27,0.26,0.28,0.24,0.3,0.2,0.18,0.19,0.21,0.19,0.23
128,"Republic of Burundi, Burundi",0.23,0.22,0.17,0.16,0.18,0.12,0.11,0.12,0.05,0.1,0.12,0.1,0.11,0.1,0.07
129,"Republic of Cabo Verde, Cape Verde",0.04,0.05,0.04,0.03,0.07,0.04,0.05,0.03,0.03,0.04,0.04,0.02,0.04,0.03,0.03
130,"Republic of Cameroon, Cameroon",0.09,0.09,0.19,0.16,0.11,0.09,0.1,0.18,0.17,0.09,0.17,0.08,0.08,0.14,0.15
131,"Republic of Chad, Chad",0.03,0.03,0.03,0.04,0.14,0.07,0.08,0.12,0.09,0.06,0.07,0.05,0.04,0.09,0.08
132,"Republic of Chile, Chile",0.41,0.32,0.23,0.36,0.49,0.39,0.3,0.3,0.41,0.34,0.49,0.26,0.19,0.28,0.28
133,"Republic of Colombia, Colombia",0.43,0.44,0.51,0.54,0.47,0.51,0.33,0.36,0.56,0.4,0.36,0.32,0.27,0.31,0.32
134,"Republic of Costa Rica, Costa Rica",0.12,0.12,0.21,0.11,0.12,0.12,0.17,0.08,0.18,0.3,0.15,0.1,0.06,0.11,0.12
135,"Republic of Cote d'Ivoire, Ivory Coast",0.09,0.06,0.18,0.16,0.15,0.13,0.12,0.13,0.08,0.08,0.16,0.27,0.12,0.09,0.07
136,"Republic of Croatia, Croatia",0.28,0.25,0.31,0.25,0.34,0.39,0.37,0.26,0.51,0.25,0.23,0.22,0.22,0.24,0.37
137,"Republic of Cuba, Cuba",0.42,0.32,0.27,0.26,0.34,0.34,0.28,0.32,0.54,0.31,0.27,0.26,0.33,0.37,0.27
138,"Republic of Cyprus, Cyprus",0.35,0.23,0.36,0.3,0.43,0.27,0.31,0.22,0.22,0.16,0.2,0.15,0.18,0.34,0.19
139,"Republic of Djibouti, Djibouti",0.11,0.05,0.06,0.07,0.09,0.06,0.07,0.06,0.06,0.07,0.05,0.07,0.05,0.05,0.04
140,"Republic of Ecuador, Ecuador",0.21,0.2,0.25,0.18,0.18,0.22,0.24,0.22,0.35,0.23,0.14,0.09,0.09,0.16,0.15
141,"Republic of El Salvador, El Salvador",0.06,0.1,0.06,0.08,0.09,0.07,0.06,0.05,0.15,0.18,0.13,0.1,0.03,0.05,0.07
142,"Republic of Equatorial Guinea, Equatorial Guinea",0.02,0.02,0.02,0.01,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.06,0.08,0.04,0.03
143,"Republic of Estonia, Estonia",0.1,0.1,0.11,0.14,0.13,0.12,0.13,0.14,0.14,0.11,0.09,0.09,0.09,0.09,0.16
144,"Republic of Fiji, Fiji",0.15,0.06,0.04,0.04,0.09,0.08,0.17,0.16,0.06,0.22,0.14,0.22,0.18,0.13,0.13
145,"Republic of Finland, Finland",0.36,0.33,0.3,0.34,0.32,0.41,0.51,0.3,0.35,0.29,0.28,0.2,0.2,0.25,0.33
146,"Republic of France, France",1.94,1.86,1.78,2.07,2.16,2.03,1.88,1.58,1.97,1.61,1.57,1.75,1.65,1.72,1.62
147,"Republic of Ghana, Ghana",0.18,0.18,0.17,0.19,0.19,0.18,0.33,0.31,0.18,0.13,0.24,0.17,0.27,0.24,0.26
148,"Republic of Guatemala, Guatemala",0.12,0.07,0.05,0.1,0.08,0.11,0.08,0.09,0.11,0.09,0.07,0.07,0.06,0.04,0.03
149,"Republic of Guinea-Bissau, Guinea-Bissau",0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.01
150,"Republic of Guinea, Guinea",0.11,0.15,0.12,0.12,0.13,0.1,0.07,0.08,0.11,0.12,0.13,0.08,0.12,0.07,0.28
151,"Republic of Haiti, Haiti",0.04,0.03,0.02,0.02,0.32,0.09,0.07,0.05,0.07,0.05,0.55,0.13,0.07,0.07,0.03
152,"Republic of Honduras, Honduras",0.1,0.08,0.04,0.08,0.1,0.07,0.04,0.05,0.09,0.36,0.12,0.06,0.05,0.07,0.06
153,"Republic of Iceland, Iceland",0.07,0.03,0.04,0.06,0.05,0.05,0.04,0.05,0.08,0.07,0.17,0.08,0.06,0.05,0.07
154,"Republic of India, India",1.36,1.35,1.87,1.62,1.5,1.91,1.45,1.32,1.08,1.75,1.75,1.46,1.49,1.65,1.55
155,"Republic of Indonesia, Indonesia",1.07,1.01,1.35,1.35,1.2,1.59,1.21,1.38,0.87,1.32,1.26,1.32,1.09,0.89,0.74
156,"Republic of Iraq, Iraq",0.81,0.83,2.01,6.78,4.12,2.22,1.65,1.94,0.94,0.83,0.76,0.71,0.71,0.91,1.17
157,"Republic of Kazakhstan, Kazakhstan",0.26,0.24,0.35,0.2,0.22,0.32,0.42,0.33,0.36,0.33,0.48,0.36,0.34,0.38,0.38
